byline,headline,pub_date
Reuters,One Case of Coronavirus Symptoms Among French Evacuated: Minister,2020-02-01T23:58:05+0000
The Associated Press,Keyser Scores 23 to Carry NC Central Over SC State 73-56,2020-02-01T23:57:34+0000
The Associated Press,Shelton Scores 29 to Carry Northern Arizona Past Idaho 77-72,2020-02-01T23:57:33+0000
Reuters,"Russia's Consumer Safety Watchdog, After Reporting Two Cases, Says Virus Won't Spread",2020-02-01T23:55:04+0000
Reuters,A Long and Winding Road: The UK Journey In and Out of the EU,2020-02-01T23:52:04+0000
The Associated Press,"Sheffield, McIntosh Lead Elon Past Northeastern 74-69",2020-02-01T23:51:28+0000
The Associated Press,Digital Footprints Lead Cops to Arizona Fugitive in Canada,2020-02-01T23:48:28+0000
The Associated Press,Mitchell Lifts South Alabama Past Georgia Southern 79-69,2020-02-01T23:45:45+0000
,"Views on Impeachment, Past and Present, at 3 Presidential Sites",2020-02-01T23:44:26+0000
Reuters,UK's Johnson Plans Full Border Checks on EU Goods: Telegraph,2020-02-01T23:43:27+0000
Reuters,UK's Johnson Plans Full Customs and Border Checks on EU Goods: Telegraph,2020-02-01T23:43:24+0000
Reuters,UK Flags Taken Down at EU Buildings in Brussels Ahead of Brexit,2020-02-01T23:43:19+0000
Reuters,Factbox: Russia Reports First Two Cases of Coronavirus-Deputy PM,2020-02-01T23:43:17+0000
Reuters,UK Well Prepared to Deal With Virus: PM Johnson's Spokesman,2020-02-01T23:43:15+0000
Reuters,Japan to Ban Foreigners Who've Been to China's Hubei in Last 2 Weeks: Government,2020-02-01T23:43:14+0000
The Associated Press,German Propels Northern Illinois Past Miami (OH) 70-55,2020-02-01T23:42:39+0000
The Associated Press,"James Madison Snaps Losing Streak, Tops UNC Wilmington 83-66",2020-02-01T23:42:36+0000
The Associated Press,Police: 2 Dead in Fiery Interstate Crash Near Atlanta,2020-02-01T23:42:31+0000
The Associated Press,Tony Finau Shoots 9-Under 62 to Take Phoenix Open Lead,2020-02-01T23:39:39+0000
The Associated Press,California Holds Off Oregon State Behind Bradley's 23,2020-02-01T23:39:38+0000
The Associated Press,Boyd Leads E. Tennessee St. Over UNC-Greensboro 82-65,2020-02-01T23:39:36+0000
The Associated Press,No. 2 Gonzaga Holds Off USF 83-79 in Furious WCC Finish,2020-02-01T23:39:34+0000
Reuters,"Number of Coronavirus Cases in China Rises Over 9,800: Ambassador",2020-02-01T23:37:14+0000
Reuters,The French Fishermen Who Could Sink Britain's Post-Brexit Ambitions,2020-02-01T23:37:13+0000
The Associated Press,Jones' 28 Points Carries Radford Past Charleston Southern,2020-02-01T23:36:35+0000
The Associated Press,"Brown, Rideau Spark South Florida Past UCF 64-48",2020-02-01T23:36:32+0000
Reuters,"EU Welcomes Pompeo's 5G Comments, No Sign of Change to Huawei Stance",2020-02-01T23:34:11+0000
Reuters,China Virus Causes Scare for India's Smartphone Makers,2020-02-01T23:34:10+0000
The Associated Press,Anderson Lifts E. Kentucky Past SE Missouri 70-57,2020-02-01T23:33:47+0000
The Associated Press,No. 7 Dayton Beats Fordham 70-56 for 16th Straight Over Rams,2020-02-01T23:33:46+0000
Reuters,FCC Plans to Take Action Over Wireless Real-Time Location Data Disclosures,2020-02-01T23:31:39+0000
Reuters,Uber Drivers Cram in Fares in Countdown to App's Colombia Departure,2020-02-01T23:31:37+0000
,"Biden to an undecided voter: ‘If I haven’t swayed you today, then I can’t sway you.’",2020-02-01T23:31:17+0000
The Associated Press,Buie Scores 22 to Carry Hofstra Past William & Mary 83-60,2020-02-01T23:30:59+0000
Reuters,Facebook to Remove Coronavirus Misinformation After WHO Declares Global Emergency,2020-02-01T23:28:18+0000
The Associated Press,No. 1 Baylor Beats TCU 68-52 for 18th Consecutive Win,2020-02-01T23:27:52+0000
The Associated Press,Ozier Leads Sacred Heart Past St. Francis Brooklyn 83-76,2020-02-01T23:27:50+0000
The Associated Press,Former WTO Leader and New Zealand Premier Mike Moore Dies,2020-02-01T23:27:49+0000
Reuters,Italy Antitrust Fines Telecom Groups Over Billing Practices,2020-02-01T23:25:09+0000
The Associated Press,Vassell's 3-Pointers Send Florida State Over Virginia Tech,2020-02-01T23:24:50+0000
The Associated Press,"No. 12 West Virginia Beats K-State, Huggins Moves Past Rupp",2020-02-01T23:21:52+0000
Reuters,China's Baidu Delays Earnings Date on Coronavirus Fears,2020-02-01T23:19:10+0000
The Associated Press,Florida Atlantic Beats Marshall 91-73 Behind Ingram,2020-02-01T23:18:53+0000
The Associated Press,Kansas Outlasts Texas Tech 78-75,2020-02-01T23:18:52+0000
